date,rate
2000-03,0.9667
2000-06,0.933
2000-09,0.8902
2000-12,0.8735
2001-03,0.9269
2001-06,0.8478
2002-03,0.8679
2003-09,1.0965
2003-12,1.2019
2004-03,1.2484
2004-06,1.2231
2004-09,1.2168
2004-12,1.3294
2005-03,1.3216
2005-06,1.2228
2005-09,1.2388
2005-12,1.1745
2006-03,1.1954
2006-06,1.2736
2006-09,1.2817
2006-12,1.3244
2007-03,1.3225
2007-06,1.3436
2008-09,1.4621
2008-12,1.2608
2009-06,1.422
2009-09,1.4314
2009-12,1.5074
2010-03,1.3525
2010-06,1.2155
2010-09,1.28
2010-12,1.3115
2011-03,1.3825
2011-06,1.4408
2011-09,1.4285
2011-12,1.3492
2012-03,1.3312
2012-06,1.2322
2013-03,1.3
2014-09,1.3133
2014-12,1.2469
2015-06,1.0944
2015-09,1.1236
2015-12,1.06
2016-03,1.0872
2016-06,1.1174
2016-09,1.1146
2016-12,1.0627
2017-03,1.0533
2017-06,1.1219
2017-09,1.192
2017-12,1.1885
2018-03,1.2171
2018-06,1.1669
2019-03,1.1383
2020-06,1.1116
2020-09,1.1987
2020-12,1.1968
2021-03,1.2053
2021-06,1.2225
2021-09,1.1817
2021-12,1.1314
2022-03,1.1162
2022-06,1.0712
2022-09,1.0004
2022-12,1.0454
2023-03,1.0684
2023-06,1.0697
2023-09,1.0844
2023-12,1.0875
2024-03,1.0813
