Date,Indice
2024-09,119.56
2024-06,120.2
2024-03,119.47
2023-12,118.39
2023-09,118.26
2023-06,117.65
2023-03,116.79
2022-12,114.16
2022-09,112.74
2022-06,112.55
2022-03,110.49
2021-12,107.85
2021-09,106.81
2021-06,106.34
2021-03,105.75
2020-12,104.96
2020-09,104.55
2020-06,104.79
2020-03,104.59
2019-12,104.98
2019-09,104.5
2019-06,104.58
2019-03,103.89
2018-12,103.47
2018-09,103.56
2018-06,103.37
2018-03,102.75
2017-12,101.85
2017-09,101.33
2017-06,101.32
2017-03,101.17
2016-12,100.65
2016-09,100.34
2016-06,100.63
2016-03,100.02
2015-12,100.04
2015-09,99.95
2015-06,100.44
2015-03,100.17
2014-12,99.86
2014-09,99.92
2014-06,100.18
2014-03,100.24
2013-12,99.8
2013-09,99.63
2013-06,99.7
2013-03,99.63
2012-12,99.1
2012-09,98.76
2012-06,98.78
2012-03,98.67
2011-12,97.8
2011-09,96.91
2011-06,96.91
2011-03,96.45
2010-12,95.45
2010-09,94.79
2010-06,94.91
2010-03,94.57
2009-12,93.8
2009-09,93.33
2009-06,93.5
2009-03,93.09
2008-12,92.95
2008-09,93.67
2008-06,93.96
2008-03,92.81
2007-12,92.03
2007-09,90.96
2007-06,90.72
2007-03,89.95
2006-12,89.71
2006-09,89.6
2006-06,89.65
2006-03,88.89
2005-12,88.39
2005-09,88.48
2005-06,87.93
2005-03,87.6
2004-12,87.0
2004-09,86.63
2004-06,86.5
2004-03,85.93
2003-12,85.23
2003-09,84.86
2003-06,84.43
2003-03,84.49
2002-12,83.41
2002-09,83.14
2002-06,82.8
2002-03,82.4
2001-12,81.56
2001-09,81.63
2001-06,81.65
2001-03,80.71
2000-12,80.47
2000-09,80.43
2000-06,80.0
2000-03,79.64
