Taux de chômage selon le sexe et l'âge,,en %,Sexe et âge,Femmes ,15-24 ans,25-49 ans,50 ans ou plus,Hommes,15-24 ans,25-49 ans,50 ans ou plus,Ensemble ,15-24 ans,25-49 ans,50 ans ou plus,Taux de chômage de longue durée,nd : donnée non disponible.,"Note : chômage au sens du Bureau International du Travail (BIT) ; données corrigées des variations saisonnières, en moyenne trimestrielle.","Lecture : au 3e trimestre 2024, le taux de chômage au sens du BIT est de 7,4 %.","Champ : France hors Mayotte, personnes de 15 ans ou plus vivant en logement ordinaire.","Source : Insee, enquêtes Emploi annuelles jusqu'en 2002 ; enquête Emploi en continu à partir de 2003."
Unnamed: 1,,,1975-T1,4.6,9.8,3.3,2.1,2.3,4.8,1.7,1.8,3.2,7,2.3,1.9,nd,,,,,
Unnamed: 2,,,1975-T2,4.9,10.4,3.5,2.2,2.6,5.4,1.9,2,3.5,7.6,2.5,2.1,nd,,,,,
Unnamed: 3,,,1975-T3,5.2,11.1,3.7,2.4,2.8,5.8,2.1,2.1,3.8,8.2,2.7,2.2,nd,,,,,
Unnamed: 4,,,1975-T4,5.5,11.8,3.9,2.5,2.9,6,2.1,2.2,3.9,8.6,2.8,2.3,nd,,,,,
Unnamed: 5,,,1976-T1,5.8,12.8,4,2.6,2.9,6,2.1,2.2,4,9.1,2.8,2.4,nd,,,,,
Unnamed: 6,,,1976-T2,5.9,13.1,4,2.7,2.8,5.8,2,2.2,4,9.1,2.8,2.4,nd,,,,,
Unnamed: 7,,,1976-T3,5.8,12.7,4,2.8,2.7,5.6,1.9,2.2,3.9,8.9,2.7,2.4,nd,,,,,
Unnamed: 8,,,1976-T4,5.8,12.6,4,3,2.7,5.9,1.9,2.2,4,8.9,2.7,2.5,nd,,,,,
Unnamed: 9,,,1977-T1,6.1,13.5,4.1,3.2,2.9,6.6,2,2.3,4.2,9.7,2.8,2.7,nd,,,,,
Unnamed: 10,,,1977-T2,6.5,14.6,4.3,3.3,3.1,7.2,2.1,2.5,4.5,10.6,3,2.8,nd,,,,,
Unnamed: 11,,,1977-T3,6.6,15,4.4,3.3,3.3,7.5,2.3,2.5,4.7,11,3.1,2.8,nd,,,,,
Unnamed: 12,,,1977-T4,6.5,14.7,4.4,3.1,3.3,7.2,2.3,2.6,4.6,10.6,3.2,2.8,nd,,,,,
Unnamed: 13,,,1978-T1,6.3,14.4,4.3,2.9,3.2,6.8,2.3,2.7,4.5,10.2,3.1,2.8,nd,,,,,
