Évolution du produit intérieur brut et de ses composantes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
par rapport au trimestre précédent en volume en %,,,,,,,,,,,,
Trimestre,Produit intérieur brut (PIB),Importations,Dépense de consommation des ménages,Dépense de consommation des APU1,Formation brute de capital fixe,dont : ,,,Exportations,Contributions :,,
,,,,,,Entreprises non financières,ménages,APU1,,Demande intérieure finale hors stocks,Variations de stocks,Commerce extérieur
2024-T3,0.38673043,-0.58997635,0.61082849,0.561647823766309,-0.70623382,-1.22812782,-0.64536366,0.53916239,-0.7585423,0.30501223,0.13488903,-0.05317084
2024-T2,0.18435558,0.09322543,-0.041007,0.559299807874103,-0.13271267,-0.21635581,-0.9098778,0.72746631,0.63905974,0.09379672,-0.09698883,0.18754769
2024-T1,0.20867058,0.11471921,0.07418753,0.692141400741897,-0.59945197,-0.86458746,-1.9782313,1.1334185,0.53769664,0.08166046,0.04098333,0.08602679
2023-T4,0.44721837,-1.97374098,0.29636742,0.446007217544175,-0.84232798,-0.8452764,-1.95257937,0.16861255,0.70522866,0.07245911,-0.66264608,1.03740534
2023-T3,0.05017186,-0.52175487,0.5304911,0.532102922845068,-0.07590901,0.53017343,-2.32988386,0.63904203,-0.92162767,0.39094514,-0.20300358,-0.1377697
2023-T2,0.67857534,1.75070798,0.02468765,0.0993252093589137,0.54561279,0.84368559,-1.50601901,2.37153699,3.23315298,0.17011943,0.01621052,0.49224538
2023-T1,0.05363757,-2.00987463,0.12970718,-0.324235355266656,-0.2721089,0.05824619,-2.9317244,2.37687704,-1.46649902,-0.07284584,-0.09622805,0.22271147
2022-T4,0.09127002,-0.36050864,-0.25559716,0.726728785565145,0.43546014,0.96455754,-1.6328006,2.27332226,0.53662454,0.15566269,-0.37015856,0.30576589
2022-T3,0.46348654,4.83016652,0.59657889,0.388552407648413,1.2000243,2.97140054,-2.41802731,1.72062241,3.30659486,0.6839146,0.34005588,-0.56048393
2022-T2,0.46805056,0.54126046,1.38832057,-0.405670665212654,-0.36694445,0.50294136,-1.1555233,-0.5911299,-0.84906261,0.53630452,0.39305735,-0.46131131
2022-T1,-0.15107659,1.87333026,-1.01785213,0.275566442131048,0.1774431,0.85209583,-0.08112401,0.12973802,2.05797097,-0.40473545,0.20478562,0.04887323
2021-T4,0.58874236,4.76197748,-0.20329587,0.967186326900138,-0.86380025,-0.14124872,-1.76373136,-0.87680789,4.49274949,-0.00803751,0.70415968,-0.10737981
2021-T3,2.82052049,0.53481553,4.71508817,2.69666124569941,-0.70498518,-0.42992099,-0.89705602,-0.89419807,2.92164605,3.00302121,-0.87613776,0.69363704
2021-T2,1.28812198,1.57146453,2.58381747,0.767151549972578,2.03770768,1.49761082,4.26304594,0.29948578,0.6780729,1.98225099,-0.41394545,-0.28018356
2021-T1,0.37479671,2.09238279,0.23098976,-0.0117507278923124,0.55257495,0.63610257,0.26274711,-0.52619318,1.2444078,0.28446064,0.39360125,-0.30326518
2020-T4,-0.10508453,0.79446582,-5.86658385,0.212617021137396,4.7024078,3.48228753,10.67205241,1.42710158,6.81229329,-2.08666709,0.29378074,1.68780183
2020-T3,15.62258626,15.41393519,17.54118103,14.9490893230459,17.08694756,19.67679153,20.68634037,9.94597424,17.78801443,17.04127505,-1.55103233,0.13234354
2020-T2,-12.30435646,-16.55383188,-10.28664825,-10.3341784442766,-12.56161333,-12.11509725,-18.18317939,-9.21070968,-22.74667739,-10.87070204,0.31867228,-1.7523267
2020-T1,-5.09952725,-5.57705368,-5.30106874,-3.29429562586401,-6.30461741,-7.4017801,-5.41846666,-4.47474938,-7.46081767,-5.03007059,0.5112721,-0.58072876
2019-T4,-0.52086962,-1.87103017,-0.09009732,-0.295169364800729,-0.01543009,0.79548168,-0.9545911,-0.2904323,-1.32040187,-0.12478802,-0.59691199,0.20083039
2019-T3,0.03117833,-0.575015,-0.05664151,0.110648268680036,1.07967955,0.97177855,1.67259888,0.80359099,-1.00569377,0.23840476,-0.06997758,-0.13724885
2019-T2,0.59374522,0.01887277,0.74011982,0.288515515868348,1.45682521,1.35339433,0.67447459,2.26802927,-0.37674712,0.78245188,-0.05619557,-0.13251109
2019-T1,0.84011783,2.6390605,0.97068054,0.295259481364618,0.66104864,-0.02212912,-0.19463173,2.57526417,1.63484334,0.73133551,0.45349158,-0.34470927
2018-T4,0.79050692,0.41224038,0.18713273,0.586077691512399,1.49770257,0.59815887,1.94569416,2.90360306,1.63626535,0.57455288,-0.18569999,0.40165403
2018-T3,0.49241644,-0.76460435,0.16829973,0.059960729017039,0.98284571,1.00077308,0.41142719,1.36979826,0.70136025,0.3205539,-0.31835739,0.49021994
2018-T2,0.21408439,1.03748359,0.0227618,0.360399679938639,0.99116631,1.37900774,0.24732774,1.24677582,0.36283796,0.31226885,0.13159823,-0.22978269
2018-T1,-0.08271738,0.75004582,0.43193885,-0.153182835599164,0.11838457,0.50284448,-0.47908679,0.53922684,-0.16475903,0.20788165,0.01635104,-0.30695006
2017-T4,0.61699642,0.71989436,0.08392764,0.158054148425402,0.9778562,1.7954088,0.65561602,-0.3102428,2.04986174,0.28904502,-0.09857996,0.42653136
2017-T3,0.7448311,2.11261857,0.67295023,0.518499807224426,1.38933419,2.01927722,0.99471673,0.25107055,1.23028865,0.77267264,0.26045787,-0.28829941
2017-T2,0.89506605,0.67321239,0.44177489,0.551437413524591,0.8718598,0.90716674,1.75408787,-0.77328544,2.34530305,0.5565227,-0.18699556,0.52553891
2017-T1,0.68636549,1.39925594,0.33766156,0.24993969283551,1.75285257,2.20804994,2.10911354,-0.62484015,0.66965012,0.61609397,0.30228051,-0.23200899
2016-T4,0.5177527,0.84722966,0.75314319,0.492916015730227,0.63436729,0.21274466,1.32535638,0.30027919,1.00606476,0.65986414,-0.18591943,0.04380799
2016-T3,0.12138578,2.90661343,0.02432591,0.637011737280102,0.55447359,0.18981435,1.3110913,-0.19098759,0.92761173,0.29295802,0.46641586,-0.6379881
2016-T2,-0.24580665,-1.99392972,0.08830063,0.222090914647821,-0.46304034,-1.22989477,0.54332753,-0.15888302,-0.18838393,0.01190973,-0.84978223,0.59206585
2016-T1,0.40137226,0.51194937,1.03466572,0.446163606966699,0.80298961,1.62267968,-0.96607986,0.39021675,-0.4001039,0.81751019,-0.14921779,-0.26692014
2015-T4,0.22524693,2.82015901,-0.04996127,0.358759131583808,1.78243955,1.64533267,2.6777612,1.20877509,1.69703259,0.44058167,0.17517024,-0.39050498
2015-T3,0.2665857,1.53585465,0.48493202,0.26015925315761,0.83766404,1.09898583,0.85495616,0.03348269,-0.06554753,0.50082649,0.28674587,-0.52098667
2015-T2,0.04906106,0.41495538,0.12182369,0.17879246321002,-0.37922112,0.46115844,-1.04311537,-2.10523532,1.82554588,0.03811841,-0.42643665,0.43737929
2015-T1,0.56770633,2.07060307,0.46022758,0.183943838570344,0.68270311,1.27328856,0.12250336,-0.10948362,1.29867593,0.43763644,0.37986164,-0.24979176
2014-T4,-0.2001512,0.80798142,0.66204643,0.291575405407274,-1.36513152,-1.17273064,-1.81769722,-2.13755595,0.89527519,0.14233569,-0.35931815,0.01683126
2014-T3,0.60494013,1.7345632,0.22059862,0.426042729171439,0.45437721,1.71752907,-1.43558107,-1.3856826,1.20549002,0.32956464,0.45838994,-0.18301445
2014-T2,0.15096566,0.6362386,0.64363781,0.295073524806355,-0.16750141,0.41373598,-1.06800529,-1.94351302,-0.16044194,0.38873848,0.01511547,-0.25288828
