date,rate
2000-03-01,0.9667
2000-06-01,0.933
2000-09-01,0.8902
2000-12-01,0.8735
2001-03-01,0.9269
2001-06-01,0.8478
2001-09-01,0.9158
2001-12-01,0.8898
2002-03-01,0.8679
2002-06-01,0.9387
2002-09-01,0.9833
2002-12-01,0.9927
2003-03-01,1.0782
2003-06-01,1.1822
2003-09-01,1.0965
2003-12-01,1.2019
2004-03-01,1.2484
2004-06-01,1.2231
2004-09-01,1.2168
2004-12-01,1.3294
2005-03-01,1.3216
2005-06-01,1.2228
2005-09-01,1.2388
2005-12-01,1.1745
2006-03-01,1.1954
2006-06-01,1.2736
2006-09-01,1.2817
2006-12-01,1.3244
2007-03-01,1.3225
2007-06-01,1.3436
2007-09-01,1.3705
2007-12-01,1.4761
2008-03-01,1.5167
2008-06-01,1.5508
2008-09-01,1.4621
2008-12-01,1.2608
2009-03-01,1.2644
2009-06-01,1.422
2009-09-01,1.4314
2009-12-01,1.5074
2010-03-01,1.3525
2010-06-01,1.2155
2010-09-01,1.28
2010-12-01,1.3115
2011-03-01,1.3825
2011-06-01,1.4408
2011-09-01,1.4285
2011-12-01,1.3492
2012-03-01,1.3312
2012-06-01,1.2322
2012-09-01,1.2611
2012-12-01,1.2986
2013-03-01,1.3
2013-06-01,1.3006
2013-09-01,1.3235
2013-12-01,1.3611
2014-03-01,1.3813
2014-06-01,1.3607
2014-09-01,1.3133
2014-12-01,1.2469
2015-03-01,1.124
2015-06-01,1.0944
2015-09-01,1.1236
2015-12-01,1.06
2016-03-01,1.0872
2016-06-01,1.1174
2016-09-01,1.1146
2016-12-01,1.0627
2017-03-01,1.0533
2017-06-01,1.1219
2017-09-01,1.192
2017-12-01,1.1885
2018-03-01,1.2171
2018-06-01,1.1669
2018-09-01,1.1651
2018-12-01,1.1359
2019-03-01,1.1383
2019-06-01,1.1151
2019-09-01,1.1036
2019-12-01,1.0982
2020-03-01,1.0977
2020-06-01,1.1116
2020-09-01,1.1987
2020-12-01,1.1968
2021-03-01,1.2053
2021-06-01,1.2225
2021-09-01,1.1817
2021-12-01,1.1314
2022-03-01,1.1162
2022-06-01,1.0712
2022-09-01,1.0004
2022-12-01,1.0454
2023-03-01,1.0684
2023-06-01,1.0697
2023-09-01,1.0844
2023-12-01,1.0875
2024-03-01,1.0813
2024-06-01,1.0852
2024-09-01,1.1087
2024-12-01,1.0562
