Libellé,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Ensemble,Unnamed: 2
idBank,001759970,
Dernière mise à jour,13/12/2024 08:45,
Période,,Date de parution au JO
2024-11,119.72,15/12/2024
2024-10,119.89,17/11/2024
2024-09,119.56,16/10/2024
2024-08,121.06,14/09/2024
2024-07,120.42,15/08/2024
2024-06,120.2,14/07/2024
2024-05,120.11,18/06/2024
2024-04,120.07,22/05/2024
2024-03,119.47,13/04/2024
2024-02,119.21,16/03/2024
2024-01,118.19,17/02/2024
2023-12,118.39,17/01/2024
2023-11,118.23,16/12/2023
2023-10,118.43,16/11/2023
2023-09,118.26,14/10/2023
2023-08,118.89,16/09/2023
2023-07,117.71,12/08/2023
2023-06,117.65,16/07/2023
2023-05,117.44,17/06/2023
2023-04,117.5,14/05/2023
2023-03,116.79,16/04/2023
2023-02,115.78,16/03/2023
2023-01,114.6,18/02/2023
2022-12,114.16,14/01/2023
2022-11,114.26,16/12/2022
2022-10,113.9,16/11/2022
2022-09,112.74,16/10/2022
2022-08,113.38,16/09/2022
2022-07,112.87,13/08/2022
2022-06,112.55,14/07/2022
2022-05,111.72,16/06/2022
2022-04,110.97,15/05/2022
2022-03,110.49,16/04/2022
2022-02,108.94,17/03/2022
2022-01,108.12,19/02/2022
2021-12,107.85,15/01/2022
2021-11,107.64,17/12/2021
2021-10,107.25,19/11/2021
2021-09,106.81,17/10/2021
2021-08,107.05,17/09/2021
2021-07,106.4,14/08/2021
2021-06,106.34,14/07/2021
2021-05,106.2,17/06/2021
2021-04,105.86,18/05/2021
2021-03,105.75,17/04/2021
2021-02,105.12,17/03/2021
2021-01,105.12,20/02/2021
2020-12,104.96,17/01/2021
2020-11,104.73,16/12/2020
2020-10,104.51,14/11/2020
2020-09,104.55,16/10/2020
2020-08,105.09,16/09/2020
2020-07,105.19,15/08/2020
2020-06,104.79,17/07/2020
2020-05,104.71,19/06/2020
2020-04,104.56,16/05/2020
2020-03,104.59,16/04/2020
2020-02,104.53,17/03/2020
2020-01,104.54,21/02/2020
2019-12,104.98,16/01/2020
2019-11,104.52,13/12/2019
2019-10,104.46,15/11/2019
2019-09,104.5,16/10/2019
2019-08,104.86,13/09/2019
2019-07,104.38,15/08/2019
2019-06,104.58,12/07/2019
2019-05,104.33,15/06/2019
2019-04,104.22,16/05/2019
2019-03,103.89,12/04/2019
2019-02,103.06,15/03/2019
2019-01,103.01,23/02/2019
2018-12,103.47,16/01/2019
2018-11,103.45,14/12/2018
2018-10,103.67,15/11/2018
2018-09,103.56,12/10/2018
2018-08,103.78,14/09/2018
2018-07,103.28,18/08/2018
2018-06,103.37,13/07/2018
2018-05,103.36,16/06/2018
2018-04,102.92,16/05/2018
2018-03,102.75,13/04/2018
2018-02,101.72,16/03/2018
2018-01,101.75,23/02/2018
2017-12,101.85,13/01/2018
2017-11,101.53,15/12/2017
2017-10,101.43,16/11/2017
2017-09,101.33,14/10/2017
2017-08,101.49,15/09/2017
2017-07,100.97,12/08/2017
2017-06,101.32,16/07/2017
2017-05,101.31,17/06/2017
2017-04,101.26,31/05/2017
2017-03,101.17,14/04/2017
2017-02,100.53,16/03/2017
2017-01,100.41,22/02/2017
2016-12,100.65,13/01/2017
2016-11,100.35,15/12/2016
2016-10,100.37,16/11/2016
2016-09,100.34,13/10/2016
2016-08,100.58,15/09/2016
2016-07,100.25,18/08/2016
2016-06,100.63,14/07/2016
2016-05,100.5,16/06/2016
2016-04,100.09,20/05/2016
2016-03,100.02,14/04/2016
2016-02,99.33,16/03/2016
2016-01,99.08,19/02/2016
2015-12,100.04,20/01/2016
2015-11,99.82,11/12/2015
2015-10,100.01,13/11/2015
2015-09,99.95,15/10/2015
2015-08,100.35,17/09/2015
2015-07,100.03,14/08/2015
2015-06,100.44,22/07/2015
2015-05,100.52,13/06/2015
2015-04,100.28,17/05/2015
2015-03,100.17,17/04/2015
2015-02,99.52,19/03/2015
2015-01,98.86,25/02/2015
2014-12,99.86,16/01/2015
2014-11,99.78,12/12/2014
2014-10,99.95,14/11/2014
2014-09,99.92,30/10/2014
2014-08,100.3,16/09/2014
2014-07,99.86,15/08/2014
2014-06,100.18,17/07/2014
2014-05,100.22,19/06/2014
2014-04,100.2,21/05/2014
2014-03,100.24,18/04/2014
2014-02,99.79,18/03/2014
2014-01,99.24,25/02/2014
2013-12,99.8,17/01/2014
2013-11,99.46,14/12/2013
2013-10,99.5,16/11/2013
2013-09,99.63,23/10/2013
2013-08,99.86,19/09/2013
2013-07,99.4,22/08/2013
2013-06,99.7,02/08/2013
