Date,Indice
2024-11,119.72
2024-10,119.89
2024-09,119.56
2024-08,121.06
2024-07,120.42
2024-06,120.2
2024-05,120.11
2024-04,120.07
2024-03,119.47
2024-02,119.21
2024-01,118.19
2023-12,118.39
2023-11,118.23
2023-10,118.43
2023-09,118.26
2023-08,118.89
2023-07,117.71
2023-06,117.65
2023-05,117.44
2023-04,117.5
2023-03,116.79
2023-02,115.78
2023-01,114.6
2022-12,114.16
2022-11,114.26
2022-10,113.9
2022-09,112.74
2022-08,113.38
2022-07,112.87
2022-06,112.55
2022-05,111.72
2022-04,110.97
2022-03,110.49
2022-02,108.94
2022-01,108.12
2021-12,107.85
2021-11,107.64
2021-10,107.25
2021-09,106.81
2021-08,107.05
2021-07,106.4
2021-06,106.34
2021-05,106.2
2021-04,105.86
2021-03,105.75
2021-02,105.12
2021-01,105.12
2020-12,104.96
2020-11,104.73
2020-10,104.51
2020-09,104.55
2020-08,105.09
2020-07,105.19
2020-06,104.79
2020-05,104.71
2020-04,104.56
2020-03,104.59
2020-02,104.53
2020-01,104.54
2019-12,104.98
2019-11,104.52
2019-10,104.46
2019-09,104.5
2019-08,104.86
2019-07,104.38
2019-06,104.58
2019-05,104.33
2019-04,104.22
2019-03,103.89
2019-02,103.06
2019-01,103.01
2018-12,103.47
2018-11,103.45
2018-10,103.67
2018-09,103.56
2018-08,103.78
2018-07,103.28
2018-06,103.37
2018-05,103.36
2018-04,102.92
2018-03,102.75
2018-02,101.72
2018-01,101.75
2017-12,101.85
2017-11,101.53
2017-10,101.43
2017-09,101.33
2017-08,101.49
2017-07,100.97
2017-06,101.32
2017-05,101.31
2017-04,101.26
2017-03,101.17
2017-02,100.53
2017-01,100.41
2016-12,100.65
2016-11,100.35
2016-10,100.37
2016-09,100.34
2016-08,100.58
2016-07,100.25
2016-06,100.63
2016-05,100.5
2016-04,100.09
2016-03,100.02
2016-02,99.33
2016-01,99.08
2015-12,100.04
2015-11,99.82
2015-10,100.01
2015-09,99.95
2015-08,100.35
2015-07,100.03
2015-06,100.44
2015-05,100.52
2015-04,100.28
2015-03,100.17
2015-02,99.52
2015-01,98.86
2014-12,99.86
2014-11,99.78
2014-10,99.95
2014-09,99.92
2014-08,100.3
2014-07,99.86
2014-06,100.18
2014-05,100.22
2014-04,100.2
2014-03,100.24
2014-02,99.79
2014-01,99.24
2013-12,99.8
2013-11,99.46
2013-10,99.5
2013-09,99.63
2013-08,99.86
2013-07,99.4
2013-06,99.7
2013-05,99.54
2013-04,99.48
2013-03,99.63
2013-02,98.88
2013-01,98.6
2012-12,99.1
2012-11,98.79
2012-10,98.94
2012-09,98.76
2012-08,99.0
2012-07,98.35
2012-06,98.78
2012-05,98.75
2012-04,98.8
2012-03,98.67
2012-02,97.86
2012-01,97.46
2011-12,97.8
2011-11,97.41
2011-10,97.14
2011-09,96.91
2011-08,96.98
2011-07,96.48
2011-06,96.91
2011-05,96.83
2011-04,96.78
2011-03,96.45
2011-02,95.67
2011-01,95.22
2010-12,95.45
2010-11,95.02
2010-10,94.91
2010-09,94.79
2010-08,94.86
2010-07,94.64
2010-06,94.91
2010-05,94.92
2010-04,94.81
2010-03,94.57
2010-02,94.11
2010-01,93.59
2009-12,93.8
2009-11,93.55
2009-10,93.42
2009-09,93.33
2009-08,93.56
2009-07,93.08
2009-06,93.5
2009-05,93.38
2009-04,93.24
2009-03,93.09
2009-02,92.92
2009-01,92.57
2008-12,92.95
2008-11,93.18
2008-10,93.62
2008-09,93.67
2008-08,93.73
2008-07,93.76
2008-06,93.96
2008-05,93.62
2008-04,93.12
2008-03,92.81
2008-02,92.12
2008-01,91.92
2007-12,92.03
2007-11,91.69
2007-10,91.19
2007-09,90.96
2007-08,90.86
2007-07,90.49
2007-06,90.72
2007-05,90.61
2007-04,90.39
2007-03,89.95
2007-02,89.57
2007-01,89.4
2006-12,89.71
2006-11,89.5
2006-10,89.4
2006-09,89.6
2006-08,89.8
2006-07,89.5
2006-06,89.65
2006-05,89.65
2006-04,89.27
2006-03,88.89
2006-02,88.64
2006-01,88.3
2005-12,88.39
2005-11,88.28
2005-10,88.46
2005-09,88.48
2005-08,88.14
2005-07,87.8
2005-06,87.93
2005-05,87.83
2005-04,87.77
2005-03,87.6
2005-02,87.05
2005-01,86.52
2004-12,87.0
2004-11,86.9
2004-10,86.85
2004-09,86.63
2004-08,86.55
2004-07,86.36
2004-06,86.5
2004-05,86.47
2004-04,86.15
2004-03,85.93
2004-02,85.59
2004-01,85.23
2003-12,85.23
2003-11,85.14
2003-10,85.04
2003-09,84.86
2003-08,84.54
2003-07,84.34
2003-06,84.43
2003-05,84.27
2003-04,84.37
2003-03,84.49
2003-02,84.15
2003-01,83.57
2002-12,83.41
2002-11,83.27
2002-10,83.27
2002-09,83.14
2002-08,82.99
2002-07,82.8
2002-06,82.8
2002-05,82.81
2002-04,82.71
2002-03,82.4
2002-02,82.04
2002-01,81.94
2001-12,81.56
2001-11,81.46
2001-10,81.68
2001-09,81.63
2001-08,81.48
2001-07,81.48
2001-06,81.65
2001-05,81.6
2001-04,81.1
2001-03,80.71
2001-02,80.35
2001-01,80.13
2000-12,80.47
2000-11,80.51
2000-10,80.33
2000-09,80.43
2000-08,80.02
2000-07,79.87
2000-06,80.0
2000-05,79.8
2000-04,79.64
2000-03,79.64
2000-02,79.27
2000-01,79.17
1999-12,79.17
1999-11,78.82
1999-10,78.79
1999-09,78.74
1999-08,78.61
1999-07,78.48
1999-06,78.69
1999-05,78.7
1999-04,78.69
1999-03,78.47
1999-02,78.21
1999-01,77.97
1998-12,78.19
1998-11,78.11
1998-10,78.16
1998-09,78.2
1998-08,78.23
1998-07,78.18
1998-06,78.44
1998-05,78.38
1998-04,78.36
1998-03,78.2
1998-02,78.07
1998-01,77.78
1997-12,78.02
1997-11,77.98
1997-10,77.85
1997-09,77.89
1997-08,77.75
1997-07,77.55
1997-06,77.65
1997-05,77.67
1997-04,77.56
1997-03,77.53
1997-02,77.47
1997-01,77.31
1996-12,77.14
1996-11,76.98
1996-10,77.05
1996-09,76.85
1996-08,76.62
1996-07,76.77
1996-06,76.91
1996-05,77.0
1996-04,76.84
1996-03,76.75
1996-02,76.26
