headline,snippet,pub_date,web_url
Stocks Resume Post-Election Rise,"With Friday’s gains included, November was the best month in a year for the S&P 500.",2024-11-29T18:46:35+0000,https://www.nytimes.com/2024/11/29/business/stock-market-election-trump.html
What the Mood Is Like in France After Surprise Election Results,"The final tally confirms that the left has the most seats in the National Assembly, with the far right third. Now, there’s a scramble to figure out a way forward.",2024-07-08T10:52:54+0000,https://www.nytimes.com/2024/07/08/world/europe/france-election-reaction.html
French Stocks Tumble to Worst Week in Two Years Over Election Fears,Investors worry about a possible debt crisis in the country as polls show the far right could be brought to the brink of power in less than a month.,2024-06-14T18:06:37+0000,https://www.nytimes.com/2024/06/14/business/france-stock-market-macron-election.html
Exploring Picasso’s Málaga,"Among the best places to discover the celebrated 20th-century Spanish artist is the sun-splashed, seaside city where he was born.",2023-04-14T09:00:34+0000,https://www.nytimes.com/2023/04/14/travel/malaga-spain-picasso.html
"They Do Business in Russia, and Now They May Pay a Price",European companies that have operations in Russia are preparing for collateral damage as Western sanctions aim to penalize Russia’s economy.,2022-02-26T05:01:09+0000,https://www.nytimes.com/2022/02/26/business/sanctions-russia-ukraine-companies.html
Workers in Europe Are Demanding Higher Pay as Inflation Soars,"Prices are rising at the fastest rate on record, and unions want to keep up. Policymakers worry that might make inflation worse.",2021-12-13T10:00:13+0000,https://www.nytimes.com/2021/12/13/business/workers-pay-europe-inflation.html
Turkey’s currency plunges after the head of the country’s central bank is fired.,"Turkey’s president, Recep Tayyip Erdogan, has repeatedly meddled in the central bank’s activities and over the years traders have dumped the lira.",2021-03-22T12:04:38+0000,https://www.nytimes.com/2021/03/22/business/turkeys-lira-plunges.html
Read the Criminal Complaint Against Julien Jin,Mr. Jin is accused of engaging in a conspiracy to censor Zoom users in the United States.,2020-12-18T18:15:11+0000,https://www.nytimes.com/interactive/2020/12/18/nyregion/julien-jin-complaint.html
A Collective Sigh of Relief Pushes the Stock Market Up,"News of Pfizer’s Covid-19 vaccine progress, and Joseph R. Biden Jr.’s victory, gave investors reason to cheer.",2020-11-09T23:02:41+0000,https://www.nytimes.com/2020/11/09/business/stock-market-vaccine-election.html
Stocks Suffer Biggest Weekly Decline Since March as Virus Spreads,"The latest sell-off has come as a second wave of cases forced more lockdowns in Europe, threatening the economic recovery and spooking investors around the world.",2020-10-30T21:07:31+0000,https://www.nytimes.com/2020/10/30/business/stock-market-decline-coronavirus.html
"After the Market’s Worst Day in Decades, Where Do We Go From Here?",Trillions of dollars in market value were erased after several global exchanges suffered their steepest fall since the Black Monday crash of 1987.,2020-03-13T10:54:15+0000,https://www.nytimes.com/2020/03/13/business/dealbook/coronavirus-markets-stocks.html
Stocks Continue Record Climb as Earnings Overshadow Impeachment,"The S&P 500, Nasdaq and Russell 2000 are all in record territory.",2020-01-16T20:38:04+0000,https://www.nytimes.com/2020/01/16/business/stock-market-record.html
"Strikes Spread Across France for 6th Day, but Government Defends Its Pension Plans",Protesters took to the streets again to protest President Emmanuel Macron’s plans to overhaul the retirement system. His government showed no sign of backing down.,2019-12-10T12:06:04+0000,https://www.nytimes.com/2019/12/10/world/europe/france-protests-strikes.html
Trump Volatility in Markets Is Back,Global markets fell Tuesday after the president cast more uncertainty on the standoff between the U.S. and China.,2019-12-03T13:41:15+0000,https://www.nytimes.com/2019/12/03/business/stocks-fall-trump-china-trade-deal.html
Global Stocks Uneven Amid U.S.-China Trade War Tensions,"Asian markets ended lower, but shares on Wall Street and in European markets rose after President Trump and Beijing officials publicly discussed potentially restarting stalled talks.",2019-08-26T02:42:27+0000,https://www.nytimes.com/2019/08/25/business/global-markets.html
