Period,Article Count
2000-01-01,4
2000-03-01,6
2000-06-01,2
2000-09-01,2
2001-01-01,1
2001-03-01,4
2001-06-01,2
2001-09-01,9
2001-12-01,1
2002-01-01,2
2002-03-01,5
2002-06-01,2
2003-01-01,1
2003-03-01,4
2003-06-01,4
2003-09-01,2
2004-03-01,4
2004-06-01,3
2004-09-01,8
2004-12-01,1
2005-01-01,11
2005-03-01,38
2005-06-01,59
2005-09-01,36
2006-01-01,8
2006-03-01,10
2006-06-01,6
2006-09-01,5
2007-01-01,3
2007-03-01,4
2007-06-01,14
2007-09-01,13
2007-12-01,1
2008-01-01,32
2008-03-01,54
2008-06-01,34
2008-09-01,123
2008-12-01,31
2009-01-01,40
2009-03-01,35
2009-06-01,18
2009-09-01,24
2009-12-01,7
2010-01-01,25
2010-03-01,39
2010-06-01,25
2010-09-01,13
2010-12-01,5
2011-01-01,3
2011-03-01,14
2011-06-01,18
2011-09-01,17
2011-12-01,2
2012-01-01,4
2012-03-01,9
2012-06-01,12
2012-09-01,2
2013-01-01,2
2013-03-01,2
2013-06-01,3
2013-09-01,2
2013-12-01,1
2014-03-01,1
2014-09-01,2
2015-01-01,1
2015-03-01,3
2015-06-01,2
2015-09-01,4
2016-01-01,1
2016-03-01,1
2017-03-01,4
2017-06-01,1
2017-09-01,1
2018-01-01,1
2018-03-01,2
2018-09-01,1
2018-12-01,3
2019-01-01,2
2019-03-01,3
2019-06-01,7
2019-12-01,2
2020-01-01,1
2020-03-01,1
2020-09-01,2
2020-12-01,1
2021-03-01,1
2021-12-01,1
2022-01-01,1
2023-03-01,1
2024-06-01,2
2024-09-01,1
