Trimestre,Produit intérieur brut (PIB)
,
2024-T3,0.38673043
2024-T2,0.18435558
2024-T1,0.20867058
2023-T4,0.44721837
2023-T3,0.05017186
2023-T2,0.67857534
2023-T1,0.05363757
2022-T4,0.09127002
2022-T3,0.46348654
2022-T2,0.46805056
2022-T1,-0.15107659
2021-T4,0.58874236
2021-T3,2.82052049
2021-T2,1.28812198
2021-T1,0.37479671
2020-T4,-0.10508453
2020-T3,15.62258626
2020-T2,-12.30435646
2020-T1,-5.09952725
2019-T4,-0.52086962
2019-T3,0.03117833
2019-T2,0.59374522
2019-T1,0.84011783
2018-T4,0.79050692
2018-T3,0.49241644
2018-T2,0.21408439
2018-T1,-0.08271738
2017-T4,0.61699642
2017-T3,0.7448311
2017-T2,0.89506605
2017-T1,0.68636549
2016-T4,0.5177527
2016-T3,0.12138578
2016-T2,-0.24580665
2016-T1,0.40137226
2015-T4,0.22524693
2015-T3,0.2665857
2015-T2,0.04906106
2015-T1,0.56770633
2014-T4,-0.2001512
2014-T3,0.60494013
2014-T2,0.15096566
2014-T1,-0.09795005
2013-T4,0.72240319
2013-T3,-0.01764877
2013-T2,0.87621164
2013-T1,0.07490978
2012-T4,0.00813596
2012-T3,0.22484907
2012-T2,-0.43311988
2012-T1,0.03038458
2011-T4,0.3063145
2011-T3,0.35022461
2011-T2,-0.00498348
2011-T1,1.30048159
2010-T4,0.6180199
2010-T3,0.6588205
2010-T2,0.50568885
2010-T1,0.23382495
2009-T4,0.81147765
2009-T3,0.16832593
2009-T2,0.17328116
2009-T1,-1.9604224
2008-T4,-1.21471289
2008-T3,-0.23384926
2008-T2,-0.67949559
2008-T1,0.85720418
2007-T4,0.05189399
2007-T3,0.28417224
2007-T2,0.64944217
2007-T1,1.06587263
2006-T4,0.54273081
2006-T3,0.0996626
2006-T2,1.21491918
2006-T1,0.83573509
2005-T4,0.69835444
2005-T3,0.7587199
2005-T2,0.26132726
2005-T1,0.25755518
2004-T4,0.89083476
2004-T3,0.37940032
2004-T2,0.44243764
2004-T1,1.06805783
2003-T4,0.35982717
2003-T3,1.0444844
2003-T2,-0.41248674
2003-T1,0.29694446
2002-T4,0.10615113
2002-T3,0.3795521
2002-T2,0.50755768
2002-T1,0.57808841
2001-T4,-0.43212258
2001-T3,0.51856537
